priority,address,city,zip,total_medicaid,num_entities,why_flagged,all_entities,all_persons
P4 - MEDIUM,1613 BLUE HILL AVE,MATTAPAN,2126,3174213,2,OVER $1M BILLED ABBEY RD HOME CARE SERVICES INC 2818231,ABBEY RD HOME CARE SERVICES INC /// MINDSET SOCIAL SOLUTIONS INC,BRENDA ROGERS /// MELISSA JULES
P4 - MEDIUM,1 ARSENAL MARKET PL,WATERTOWN,2472,3129679,3,"OVER $1M BILLED CAREGROUP PARMENTER HOME CARE & HOSPICE, INC. 2594251","CAREGROUP PARMENTER HOME CARE & HOSPICE, INC. /// CAREGROUP PARMENTER HOME CARE & HOSPICE, INC. /// MOUNT AUBURN HOSPITAL",BRIAN SMITH /// WILLIAM SULLIVAN
P4 - MEDIUM,59 ACTON ST,WORCESTER,1604,2404423,2,"OVER $1M BILLED | BILLING SAME CODES: 97110, 97530 BEAR MT WORCESTER LLC 2389369","BEAR MT WORCESTER LLC /// SENIOR RESIDENTIAL CARE/WORCESTER, INC.",JOHN WYNNE /// TAMILYN LEVIN
P4 - MEDIUM,578 MAIN ST,MALDEN,2148,1665300,6,6 ENTITIES AT ONE ADDRESS | OVER $1M BILLED AMERICAN DENTAL CONSULTANTS 1250899,"AMERICAN DENTAL CONSULTANTS /// RITE TIME HOME CARE SERVICES INC /// MATTHEW SIU /// PANSY SIU-LAI /// MICHAEL PRICE /// PSYCHIATRIC ASSOCIATES OF MALDEN, P.C.",SAIF NAJI /// SOLOMON NWACHUKWU /// THOMAS BOND
P4 - MEDIUM,31 PINE STREET,NORFOLK,2056,1430257,4,OVER $1M BILLED NE NEPHROLOGY HOME CARE ASSOCIATES 652888,"NE NEPHROLOGY HOME CARE ASSOCIATES /// NEW ENGLAND NEPHROLOGY ASSOCIATES /// PONDVILLE MEDICAL ASSOCIATES, LLC /// RIAD MORTADA",DERYA HAZAR /// RIAD MORTADA
P4 - MEDIUM,101 BROADWAY RD,DRACUT,1826,1288956,3,"OVER $1M BILLED AVENUE HOMECARE SERVICES, INC. 959152","AVENUE HOMECARE SERVICES, INC. /// STEVEN SARO /// SARO CHIROPRACTIC HEALTH CENTER",FRANCIS NGIGI /// STEVEN SARO
P4 - MEDIUM,464 MAIN ST,AGAWAM,1001,898006,3,MULTIPLE ENTITIES SAME ADDRESS AGAWAM EAST REHAB AND NURSING LLC 599173,AGAWAM EAST REHAB AND NURSING LLC /// 464 MAIN STREET OPERATIONS LLC /// GENESIS ELDERCARE PHYSICIAN SERVICES LLC,BENJAMIN FRIEDMAN /// ERIC SHAPIRO /// MICHAEL BERG
P4 - MEDIUM,400 W CUMMINGS PARK,WOBURN,1801,871636,5,5 ENTITIES AT ONE ADDRESS AMERICA HOME CARE CENTER 566721,"AMERICA HOME CARE CENTER /// THOMAS STINSON /// PILGRIM MEDICAL ASSOCIATES, P.C. /// IAM ORTHOTICS & PROSTHETICS, INC. /// DAVID SPITALERE",FRANCES IGIEBOR /// ROBERT DRILLIO /// THOMAS STINSON
P5 - REVIEW,555 AMORY ST,JAMAICA PLAIN,2130,74893651,3,"SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | ONE PERSON RUNS ALL SOUTHWEST BOSTON SENIOR SERVICES, INC. 65669848","SOUTHWEST BOSTON SENIOR SERVICES, INC. /// SOUTHWEST BOSTON SENIOR SERVICES, INC /// RENEE GARAND",DALE MITCHELL
P5 - REVIEW,20 CLAFLIN STREET,MILFORD,1757,6030502,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | ONE PERSON RUNS ALL CHESHIRE ADULT DAY CARE INC 5963802,CHESHIRE ADULT DAY CARE INC /// CLAFLIN HILL CORPORATION,DEBORAH KLOCK
